Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Barcelos,2010,120787,0,16.8,70.1,13.1,78,901,0.7,0,840,0,225,523,208,4,27,47218,359,96,88,10,15,9,24655,2,2643,1,0,2,10.4,11868,44856,6,9,776,41,6,99,27350,2429,30,3267,5843,7,682,52480.2,55873.7,3394,60.4,24.1,3667.1,33.8,5,5,9.3,30.1,20.6,20.0,12.2, 0.7,7.1
Barrancos,2010,1845,0,13.1,62.9,24,184,5,0.3,0,37,0,-22,2,1,0,1,1289,2,1,1,1,1,0,281,0,0,1,0,0,8.8,190,328,27,63,755,2,0,2,598,145,47,76,124,11,103,4509,4880.9,372,94.4,8.1,3101.2,100.3,1,1,15.2,27.5,15.2,18.1,17.7, 0.3,5.9
Barreiro,2010,78969,0,14.2,64.8,20.9,147,3278,4.2,0,900,0,-124,366,247,2,22,41671,43,38,26,8,11,6,14856,1,692,1,167,5,5.2,6646,14276,7,23,1044,31,0,106,24026,5753,44,4586,4316,8,819,37304.2,40246.6,2942,33.5,40.5,3325.4,71.1,6,0,7.8,27.6,11.1,21.2,18.5, 1.0,12.8
Batalha,2010,15796,0,15.9,65.9,18.2,115,648,4.1,0,131,0,20,84,31,0,4,8283,40,14,10,2,2,1,3434,0,0,0,0,1,14.2,1931,8055,14,15,883,12,2,21,4193,389,34,251,504,5,101,12174.8,11527.5,-647,56,38.9,5195.8,42.5,7,5,11.1,30.0,13.1,19.5,15.1, 1.3,10.0
Beja,2010,35939,0,15.1,64.5,20.4,135,1238,3.4,0,504,0,-114,145,100,1,12,20071,23,24,21,4,6,3,7403,4,2779,5,112,1,10.5,4287,9038,5,13,964,20,4,59,11156,2939,46,2377,1409,6,541,25998,26210.7,213,65.7,31,3668.9,67.9,7,7,11.8,23.0,10.9,20.7,16.5, 1.0,16.1
Belmonte,2010,6915,0,11.9,63,25.1,211,34,0.5,0,99,0,-50,26,15,0,2,4928,18,7,4,1,1,1,903,0,0,1,0,0,31,643,2029,34,42,780,5,2,12,2435,298,45,363,421,10,63,7720,7968.1,248,83.6,45.1,2921.2,37,3,2,16.3,34.2,11.6,15.8,13.2, 0.9,8.0
Benavente,2010,28738,0,18.4,66,15.7,85,2527,8.8,0,248,0,74,97,78,0,6,14702,46,15,9,3,4,2,5150,0,0,0,0,0,6.5,2827,10268,19,17,1017,19,4,41,6763,1141,33,1086,1511,8,388,16771.2,15593.9,-1177,39.8,48.1,5599.2,25.8,10,1,9.8,24.7,14.4,21.7,17.7, 1.2,10.5
Bombarral,2010,13248,0,13.9,64.1,22.1,159,487,3.7,0,209,0,-112,55,53,0,4,8008,39,12,9,1,1,1,2208,0,0,1,0,0,3.4,1617,3828,11,15,802,8,2,18,3879,451,38,392,580,7,231,7538.3,8129.3,591,55.1,44.8,4077.6,69.1,4,1,12.8,32.1,13.7,18.5,13.6, 0.9,8.4
Borba,2010,7381,0,11.8,61.9,26.3,222,143,1.9,0,91,0,-44,23,13,0,5,4176,18,5,5,1,1,0,974,0,0,1,0,1,10.7,897,1743,9,26,894,4,2,7,3145,242,52,402,347,8,229,6632.6,7041.4,409,67.3,16.4,4161.4,62.6,7,1,19.2,29.3,13.1,16.3,14.3, 0.8,7.1
Boticas,2010,5807,0,10.1,59.4,30.4,300,28,0.5,0,89,0,-59,33,4,0,2,4638,20,6,1,1,1,0,544,0,0,1,0,0,6.8,401,821,29,38,702,2,1,2,2263,226,48,332,283,8,134,7883.7,9226,1342,82.6,25.1,3397.3,40.3,2,1,24.6,39.7,11.1,9.9,9.2, 0.5,5.0
Braga,2010,180948,0,16.8,70.8,12.4,74,5282,2.9,0,1164,0,644,843,448,4,36,84368,445,108,87,21,24,15,42204,5,17248,7,321,17,14.2,19457,66811,8,20,960,110,5,238,35869,8668,29,8093,10526,8,1771,81048.3,85707.7,4659,48.9,39.9,3717.9,66.8,6,22,6.9,22.3,13.0,20.3,17.3, 0.9,19.2
Bragança,2010,35413,0,12.7,65.5,21.8,172,761,2.1,0,405,0,-135,162,94,1,8,24735,66,17,25,3,6,4,7208,5,5527,4,0,3,7.5,3745,7822,5,40,842,19,6,57,10083,3241,43,915,1772,8,367,32963.9,34118,1154,57.5,34.4,3569.9,37.3,7,11,13.0,25.8,10.2,16.6,15.3, 1.1,18.0
Cabeceiras de Basto,2010,16828,0,16.9,64.4,18.7,111,88,0.5,0,168,0,-28,78,25,0,4,9276,47,24,10,2,2,2,3842,0,0,1,0,0,1.8,1213,3193,6,17,707,8,1,12,4592,565,37,1290,1386,13,294,17714.4,16345.8,-1369,81.9,25.5,1894,35.4,2,0,16.3,28.9,17.2,18.3,11.6, 0.7,7.0
Cadaval,2010,14257,0,14.4,60.8,24.8,172,388,2.7,0,203,0,-74,50,15,0,5,8726,30,13,14,1,2,1,1857,0,0,1,0,0,9,1486,3497,12,24,868,5,3,13,4309,526,40,321,535,6,220,9370.4,9278,-92,61.6,31.3,3834,54.8,3,1,14.9,33.8,13.2,17.0,13.7, 0.8,6.6
Caldas da Rainha,2010,51710,0,15.1,65.2,19.7,130,2405,4.7,0,542,0,-78,155,150,3,15,30762,98,40,41,5,7,5,10562,2,1180,4,15,5,17,6271,17204,14,18,887,27,6,83,13860,2512,37,1057,2782,8,320,26927.7,24354.3,-2573,45.5,40.5,3929,46.4,6,10,10.6,26.6,11.1,20.7,17.0, 1.1,12.9
Calheta [R.A.A.],2010,3809,0,14.9,65.1,20,135,13,0.3,0,45,0,-28,17,4,0,2,2380,4,6,4,2,2,1,620,0,0,1,0,0,3.8,356,875,23,28,0,5,1,8,976,171,36,274,71,3,116,4119.9,4561.9,442,85.3,40.2,2666.3,0,3,0,16.7,36.6,14.9,17.7,7.9, 0.4,5.9
Calheta [R.A.M.],2010,11585,0,15.4,62.6,22,143,317,2.7,0,168,0,-82,24,22,0,4,7223,51,10,10,2,2,2,1988,0,0,0,0,0,5.4,625,2201,39,80,1206,9,0,14,3989,308,44,449,460,6,133,7981.2,9081.3,1100,74.6,14,2760.1,36.2,5,12,19.6,34.4,12.9,13.9,10.9, 0.8,7.5
