Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Miranda do Corvo,2010,13148,0,14.4,65.9,19.7,137,161,1.2,0,151,0,-65,27,31,0,3,7361,31,9,8,2,2,1,1692,0,0,0,0,1,5.9,1276,2447,7,16,770,3,1,11,3899,651,40,473,482,6,163,9964.8,10152.7,188,69.1,26.5,2345.8,41.9,2,1,12.1,31.3,13.3,19.3,14.6, 0.8,8.7
Miranda do Douro,2010,7552,0,10.2,57.8,31.9,311,119,1.6,0,111,0,-75,20,7,0,2,5506,21,4,3,2,2,1,1234,1,2,1,0,0,11.7,874,1503,9,19,812,6,3,10,2788,528,49,159,250,6,201,8425.8,9567.6,1142,83.4,33.1,3791.2,30.5,3,9,19.6,32.1,10.0,16.1,12.4, 0.7,9.0
Mirandela,2010,24030,0,12.4,63.4,24.2,195,457,1.9,0,276,0,-105,94,51,1,7,14819,91,23,17,2,5,5,4608,2,1247,0,0,1,9.6,2478,5072,5,13,831,12,2,24,7162,1545,42,713,1508,10,475,18982.8,19916,933,72.2,35.2,3198.5,44.5,8,5,15.7,30.2,12.4,15.6,13.7, 0.7,11.8
Mogadouro,2010,9657,0,9.9,57.9,32.3,326,103,1.1,0,127,0,-83,47,9,0,3,7181,22,7,4,1,1,1,1132,0,0,0,0,0,11.1,937,1535,8,21,836,4,1,6,3614,604,49,115,398,7,163,12624.8,13927.6,1303,86.6,23.8,3164.2,33,6,3,21.1,33.7,10.5,14.6,10.5, 0.8,8.6
Moimenta da Beira,2010,10272,0,14.8,62.6,22.6,153,194,1.9,0,138,0,-45,52,12,0,3,7777,33,16,12,1,2,2,2631,0,0,0,0,0,12.7,976,2045,9,18,717,4,3,8,2969,441,39,926,564,9,151,7960.4,9414.9,1455,72.2,26.3,3004.1,39.6,6,2,16.1,34.8,12.1,15.8,12.4, 0.7,8.2
Moita,2010,66176,0,16.3,67.7,16,98,3320,5,0,625,0,93,209,197,0,14,34619,51,25,24,6,8,3,10464,0,0,0,76,1,7.1,4780,10918,8,16,916,20,2,57,19231,3067,40,5602,4198,9,822,28758.6,29886,1127,41.4,39.1,2161.1,38.1,8,0,9.3,26.8,13.1,23.1,17.9, 1.1,8.7
Monção,2010,19343,0,10.9,61.3,27.7,254,468,2.4,0,293,0,-176,75,36,0,6,13378,55,13,9,2,4,2,3237,0,0,0,0,0,8.4,1875,4168,5,14,769,9,1,16,6281,744,41,276,587,5,301,18113.3,18832.6,719,75.9,28,2858.8,38.8,4,3,18.4,32.6,12.6,13.8,13.4, 1.0,8.3
Monchique,2010,6124,0,9.5,57.8,32.8,345,571,9.3,0,110,0,-72,24,6,0,3,4585,9,2,3,1,1,0,567,0,0,0,0,0,1.9,741,1339,11,18,787,1,3,4,2480,212,49,213,210,6,231,7982.8,9307.9,1325,80.9,32,3819.5,87.4,8,7,20.0,33.5,9.5,15.2,14.3, 0.8,6.7
Mondim de Basto,2010,7587,0,15.6,63.9,20.5,132,33,0.4,0,86,0,-35,37,16,0,2,4513,18,8,11,1,1,1,1421,0,0,0,0,0,7.7,474,1364,21,40,704,3,1,5,2251,432,42,574,455,9,168,21072.8,8214.5,-12858,89.2,26,2054.7,37.7,6,1,19.6,32.9,14.8,16.0,10.2, 0.9,5.7
Monforte,2010,3343,0,14.7,57.7,27.6,188,67,2,0,54,0,-23,12,5,1,4,2331,10,4,4,1,1,0,407,0,0,1,0,0,8.1,265,551,14,58,869,2,1,6,1463,158,57,423,182,9,158,4771.6,5327.3,556,87.4,9,2954.2,169.9,5,1,23.9,31.7,10.9,14.9,11.5, 0.8,6.3
Montalegre,2010,10705,0,10.1,57.6,32.3,319,81,0.8,0,191,0,-146,51,17,0,5,10496,26,6,7,2,2,3,1352,0,0,1,0,0,9.9,886,1661,15,26,749,8,2,11,4602,549,54,462,368,6,298,16790.6,17690.3,900,78.5,41.4,2940.4,74.1,4,3,23.0,37.4,11.2,11.9,10.0, 0.4,6.1
Montemor-o-Novo,2010,17560,0,12,60.3,27.7,230,333,1.9,0,277,0,-155,53,34,1,11,10295,15,13,12,1,2,1,2402,0,0,1,0,0,15.6,2094,4715,7,20,853,8,4,28,6674,670,48,541,525,5,362,17134.4,17469.9,336,70.3,26.6,3980,62,7,2,18.9,30.8,11.1,16.1,13.6, 0.8,8.8
Montemor-o-Velho,2010,26164,0,12.7,65.1,22.1,173,273,1,0,292,0,-54,98,62,0,11,13171,47,16,15,4,6,3,3835,0,0,0,335,0,32.6,2437,5122,14,22,813,5,5,21,7906,1133,39,753,1106,6,274,24986.5,23760.9,-1226,78,34.1,2473.1,45.2,3,1,14.3,28.5,12.2,18.7,14.9, 0.8,10.6
Montijo,2010,50593,0,17,66.6,16.4,97,2789,5.5,0,523,0,124,188,190,1,11,26611,79,30,21,2,4,3,8626,0,0,0,0,6,10.1,5329,12847,8,22,982,26,2,65,11894,2162,33,2196,2529,8,878,32099,31254.9,-844,39.6,41.9,4143.5,76.8,10,3,9.7,23.0,11.7,20.3,19.2, 1.3,14.9
Mora,2010,5047,0,10.4,58.2,31.5,303,59,1.2,0,109,0,-79,16,11,0,5,3880,8,5,4,1,1,1,594,0,0,0,0,1,12.8,486,1082,20,41,809,2,3,7,2463,227,60,257,171,6,137,6252.3,6723.6,471,77.6,19.6,3363.8,85.6,5,2,21.5,35.3,10.1,16.3,10.1, 0.4,6.3
Mortágua,2010,9679,0,11.2,62.3,26.5,235,162,1.7,0,128,0,-60,30,8,0,4,6012,33,11,4,1,3,2,1303,0,0,0,0,0,8.7,1065,2753,16,37,890,4,1,9,3432,295,44,323,229,4,178,11820.4,10443,-1377,78.4,16.2,5248.8,34,6,4,16.7,36.7,12.4,14.8,10.9, 0.6,7.9
Moura,2010,15268,0,15.8,61.4,22.8,144,636,4.2,0,237,0,-102,41,24,0,11,10585,17,10,11,2,4,2,3127,0,0,1,21,0,13.4,1687,3002,8,38,912,5,4,20,5417,798,49,2118,1078,11,358,15076.1,14089.7,-986,76.6,25.5,2881.3,29.2,7,3,19.2,28.9,13.4,18.4,12.4, 0.6,7.1
Mourão,2010,2696,0,15.7,61.3,23,147,19,0.7,0,51,0,-23,2,6,0,1,1940,6,3,3,1,1,0,390,0,0,1,0,0,2.6,277,435,17,34,785,2,1,6,941,174,49,433,141,9,210,5602.5,5296.3,-306,81.6,18.9,3126.1,65.7,1,0,19.3,31.3,14.2,17.8,12.4, 0.5,4.4
Murça,2010,6004,0,12.4,60.9,26.8,216,20,0.3,0,79,0,-38,22,14,0,2,4128,11,6,8,1,2,2,918,0,0,0,0,0,6.2,539,976,15,28,741,2,1,3,2252,294,49,369,295,8,160,7308.9,8604.5,1296,89.4,31.1,2551.9,19.5,4,0,20.0,35.3,12.9,14.4,9.8, 0.6,7.0
Murtosa,2010,10559,0,17.1,63.1,19.8,116,96,0.9,0,127,0,-34,37,17,0,4,7635,30,8,6,2,2,1,1590,0,0,0,0,0,12.3,1146,2133,13,30,747,5,1,10,2489,249,31,286,450,7,91,7260.9,7589.1,328,62.6,32.9,3261.8,49,4,3,13.4,35.7,16.6,15.8,9.8, 0.6,8.0
Nazaré,2010,15183,0,14.5,67,18.6,128,550,3.6,0,182,0,-27,78,37,1,6,13102,53,7,9,2,2,2,2558,0,0,1,0,0,17.5,1884,3612,6,19,825,9,2,26,4620,559,40,309,793,8,362,12229.2,11718.6,-511,42.4,42.5,5113.4,41,11,11,10.8,31.2,13.8,18.6,14.7, 1.2,9.8
Nelas,2010,14071,0,14,63,23,164,140,1,0,162,0,-63,68,29,0,6,8724,39,17,10,2,3,2,2257,0,0,0,0,1,5.2,1059,3487,21,51,934,6,2,17,4535,562,42,841,758,9,333,16853.2,10085.6,-6768,62.5,26.1,8431.7,26.6,5,7,12.6,34.2,12.1,18.1,13.2, 0.6,9.1
Nisa,2010,7549,0,9.9,53.5,36.6,368,78,1,0,177,0,-129,18,13,0,5,7325,8,5,4,1,2,2,1071,0,0,1,0,0,7.7,713,1258,10,23,771,3,1,8,3597,576,62,337,253,6,260,10957.7,11385.1,427,80.3,14,2906.2,81.3,7,0,21.0,34.9,9.9,15.7,10.8, 0.7,6.9
Nordeste,2010,4988,0,17.4,64.8,17.8,102,34,0.7,0,90,0,-29,19,17,0,2,2703,5,9,8,1,1,2,899,0,0,0,0,0,5.2,403,696,20,28,0,4,0,6,1074,242,32,637,202,6,89,5826.9,6281.7,455,93.9,23.7,1950.5,70,3,1,10.4,33.8,20.8,19.1,10.3, 0.3,5.2
Óbidos,2010,11734,0,15.1,63.3,21.6,143,422,3.6,0,97,0,-14,43,48,0,5,8979,60,11,9,1,1,1,1677,0,0,1,156,0,16.4,1523,3682,12,25,929,5,4,20,3434,319,37,260,498,7,351,21098.4,19280,-1818,34.3,39.9,5461.8,80.7,3,9,13.6,30.6,13.3,17.9,14.5, 0.9,9.2
Odemira,2010,26138,0,12.2,61,26.8,221,2831,10.8,0,354,0,-155,59,39,0,12,20846,56,25,27,5,6,3,4889,0,0,0,0,1,2.1,3025,7251,12,18,861,9,5,40,9024,850,43,845,1288,8,572,28187.6,28055.6,-132,67.5,25.4,3161.5,54.4,6,15,22.9,26.5,11.0,18.2,13.6, 0.7,7.0
Odivelas,2010,143851,0,15,68.7,16.3,108,14523,10.1,0,1039,0,710,0,374,0,33,68832,306,53,36,12,18,9,24659,1,957,0,508,5,5.2,15052,32927,5,7,909,49,2,141,21558,10061,26,5282,5574,6,1213,63739.5,67843.4,4104,42.2,32.2,2150.7,0,8,0,6.7,24.7,11.5,20.8,19.2, 1.2,15.8
Oeiras,2010,171786,3744,15.7,65.5,18.9,121,10343,6,1909,1442,6.8,467,501,471,3,47,86020,93,85,51,13,18,11,28167,6,4911,2,702,21,9.6,23696,143047,17,16,1731,116,2,338,36795,17575,37,4896,6028,5,1817,111127,113261.4,2134,18.6,34.1,4741.5,180.9,8,7,4.9,16.1,7.8,18.1,21.0, 1.3,30.7
Oleiros,2010,5791,0,7.8,54.5,37.7,484,47,0.8,0,108,0,-85,14,7,0,3,4970,8,4,3,1,1,1,417,0,0,0,0,0,6.8,435,1146,25,52,718,3,2,5,2993,252,61,114,93,3,122,9069.1,8912.1,-157,81.6,16.8,4471.5,4,5,0,25.9,40.1,8.1,11.6,8.1, 0.8,5.4
Olhão,2010,45162,0,16.7,66.1,17.2,103,3501,7.8,0,441,0,81,117,126,1,9,26124,82,21,15,7,8,2,7402,0,0,1,0,3,3.2,5143,10334,4,8,881,15,6,50,10403,1591,32,2921,2548,9,816,27774.7,28524.9,750,40.2,50.8,2906.9,188.3,17,4,10.2,26.8,12.9,21.7,16.9, 1.1,10.4
Oliveira de Azeméis,2010,68925,0,14.1,69.3,16.6,118,762,1.1,0,556,0,-33,215,180,1,16,29904,111,50,37,7,9,3,12446,2,456,2,0,0,4.3,7035,27026,7,18,913,33,4,56,18707,1412,34,1195,2828,6,578,29575.5,32290.6,2715,49.6,22.3,5280,49,6,1,9.2,32.0,18.0,19.3,12.5, 0.9,8.1
Oliveira de Frades,2010,10301,0,15.3,64.2,20.5,134,215,2.1,0,117,0,-34,43,21,0,3,5655,28,16,13,2,2,1,2199,0,0,1,0,0,15.7,1046,5676,29,55,1077,7,1,16,3129,350,40,275,298,5,194,8459.4,8167.6,-292,70.3,20.9,6201.1,20.5,5,1,11.9,32.3,15.5,18.2,13.0, 0.9,8.1
Oliveira do Bairro,2010,22950,0,15.8,64.4,19.8,125,629,2.7,0,233,0,4,72,64,0,7,11262,79,15,14,3,4,2,4146,0,0,1,15,0,8.5,2599,8669,9,30,917,16,2,27,6085,554,34,501,900,6,270,19950.2,18992.4,-958,52.9,42.8,5539.7,55.5,3,2,12.1,28.7,15.3,18.0,13.5, 1.0,11.3
Oliveira do Hospital,2010,20993,0,13.7,63.2,23.1,169,439,2.1,0,287,0,-140,71,40,1,8,13688,41,30,22,4,5,2,4419,1,550,0,0,1,12.7,1761,5539,14,16,734,6,4,21,7147,715,43,1025,873,7,280,13726.4,14176.5,450,65.5,24.4,5408.4,29.4,6,2,14.9,35.1,13.0,17.3,11.8, 0.7,7.3
Ourém,2010,46071,0,15,63.9,21,140,1910,4.1,0,510,0,-142,170,81,0,18,29025,111,44,48,7,7,5,9759,0,0,3,59,1,9.5,5402,17024,6,17,890,33,5,64,11727,1317,33,622,1461,5,481,29788.8,30806.9,1018,61.7,31.9,3720.1,40.8,6,42,15.1,28.6,13.0,18.4,14.2, 1.1,9.7
Ourique,2010,5460,0,10.6,58,31.4,296,188,3.4,0,115,0,-73,15,8,0,5,4160,10,7,6,1,1,1,633,0,0,0,0,1,5.4,593,1132,10,21,730,2,1,6,2342,280,54,360,350,11,286,7925.2,8750.4,825,87.6,33.5,3415,43.8,3,0,22.9,30.5,10.7,17.3,12.8, 0.3,5.5
Ovar,2010,55487,0,15.7,69.3,15.1,96,777,1.4,0,460,0,38,213,159,1,15,27672,81,42,33,5,9,5,10387,0,0,2,0,1,9.9,5564,18716,16,21,903,21,4,63,13523,1614,32,2256,3807,10,447,32494,35026.7,2533,36.8,36,5493.1,57.9,14,4,8.4,28.0,15.2,20.3,15.0, 0.8,12.2
Paços de Ferreira,2010,56273,0,18.5,71.1,10.4,56,256,0.5,0,342,0,278,254,137,0,9,21196,153,31,34,4,6,3,11463,0,0,2,0,5,10.6,5260,22174,10,20,691,25,2,48,9365,821,22,4594,3602,9,520,32167.1,32799.6,633,71.5,29.7,3789.7,25.1,2,1,9.6,34.5,21.7,17.8,9.8, 0.5,6.1
Palmela,2010,62395,0,17.5,66,16.5,95,2117,3.4,0,530,0,169,268,184,0,15,33008,99,34,31,8,8,4,11816,0,0,1,406,0,13.7,6219,26121,22,50,1269,21,4,65,14605,2132,32,1997,2928,7,1001,40693.7,36972.2,-3721,26.6,49.9,7384.9,56.5,8,7,10.1,23.9,11.7,21.6,18.1, 1.1,13.5
Pampilhosa da Serra,2010,4548,0,7.8,51.9,40.2,514,16,0.4,0,111,0,-94,7,6,0,2,5651,6,3,2,1,1,1,294,0,0,0,0,0,4.9,273,520,9,69,755,3,1,8,2139,222,57,147,92,4,152,11092.8,10287.4,-805,91.4,19.6,2744.1,29.5,0,0,29.2,38.9,9.3,11.3,8.4, 0.2,2.8
Paredes,2010,86843,0,18.4,70.6,10.9,59,422,0.5,0,576,0,388,351,198,1,15,34220,163,57,56,7,10,6,17808,2,2320,0,0,0,8.7,7346,24243,3,9,784,41,4,81,15155,1495,23,7994,5720,9,1004,39141.8,42924.4,3783,68.6,28.3,2978.6,44.2,7,3,9.6,32.9,19.2,19.0,11.6, 0.7,7.0
Paredes de Coura,2010,9240,0,12.5,61.1,26.4,212,88,1,0,115,0,-57,43,15,0,3,6051,43,12,1,1,1,2,1313,0,0,1,0,2,11.8,722,1456,13,31,731,4,1,6,3057,356,42,255,437,8,172,10955.7,11383.3,428,82.7,36.4,2483.2,36.7,5,1,20.9,32.4,13.0,16.4,11.4, 0.8,5.1
Pedrógão Grande,2010,3965,0,11.4,55.1,33.5,293,182,4.6,0,90,0,-73,10,8,0,3,3651,11,4,3,1,2,1,681,0,0,0,0,0,4.3,401,902,16,40,781,2,1,4,1802,199,57,145,183,8,117,5409.9,5653,243,78.2,25.7,7703.5,48.9,2,1,20.0,36.2,11.3,14.1,11.3, 1.8,5.4
Penacova,2010,15375,0,12.5,64.1,23.3,186,136,0.9,0,186,0,-92,43,25,1,7,8335,30,10,10,2,3,2,1929,0,0,0,0,0,14.4,1596,3087,6,16,811,5,2,13,4654,594,39,415,527,5,156,11715.8,12110.8,395,75.9,18.4,2678.9,43.3,3,2,16.2,35.8,12.7,17.5,10.7, 0.6,6.4
Penafiel,2010,72425,0,17.9,69.8,12.2,68,392,0.5,0,491,0,255,335,214,1,16,30007,255,57,62,5,7,3,15771,0,0,1,30,3,8.3,5479,22366,5,11,818,22,6,67,13863,1992,27,4572,3869,8,711,34868.7,36179.1,1310,67.6,25.1,3017.7,39.5,8,7,11.4,31.7,17.6,19.7,12.2, 0.6,6.8
Penalva do Castelo,2010,8034,0,13,60.1,26.9,206,35,0.4,0,132,0,-84,45,15,0,2,5439,16,9,5,2,2,1,1166,0,0,0,0,0,13.1,506,1297,24,36,772,2,1,3,2792,270,44,384,455,9,120,6582,7905.2,1323,83.3,15.1,2139.1,18.8,4,2,21.6,36.9,12.5,13.7,9.2, 0.6,5.6
Penamacor,2010,5786,0,8.2,49.1,42.7,523,54,0.9,0,141,0,-120,12,6,0,5,6516,9,8,2,1,1,1,1031,0,0,1,0,0,5.2,436,846,16,54,717,2,2,4,2729,500,61,169,153,5,112,9559.9,9798.1,238,84.8,30.2,2788.5,38.4,4,0,27.5,36.4,10.0,13.0,8.7, 0.3,4.1
Penedono,2010,2995,0,13,59.9,27,207,7,0.2,0,49,0,-38,25,5,0,1,2628,15,2,1,1,1,0,424,0,0,0,0,0,13.7,261,430,10,29,739,2,1,3,943,149,42,283,113,6,89,5108,5585.7,478,87.4,26.4,2366.5,38.4,3,1,18.9,36.8,13.6,12.2,10.9, 0.6,7.1
Penela,2010,6023,0,12.9,58.7,28.4,220,156,2.6,0,94,0,-46,12,6,0,2,4699,13,6,6,1,2,1,701,0,0,1,0,0,13.5,569,1506,20,37,772,2,2,8,2355,302,51,184,173,5,112,7619.8,7175.9,-444,78.5,25.6,2916.8,42.3,6,0,17.4,35.3,10.0,16.3,12.0, 1.0,7.9
Peniche,2010,27814,0,15.3,65.7,19,125,915,3.3,0,335,0,-52,116,84,1,7,21042,68,17,20,3,4,1,5018,1,1229,1,0,0,13.7,3023,8234,14,18,846,13,4,35,8006,1070,39,828,1518,8,459,15567.8,16283.9,716,39.7,41.8,3972.3,59.9,11,8,12.1,30.5,14.7,19.6,13.4, 1.0,8.9
Peso da Régua,2010,17263,0,13.9,67.3,18.8,136,146,0.8,0,191,0,-53,73,62,1,8,9213,13,11,13,2,4,2,3976,0,0,1,0,0,1.2,1493,3663,6,18,880,11,2,21,5186,903,41,1406,1144,10,311,18911.2,16748.8,-2162,74.4,34.4,2789.6,18.8,2,4,14.7,32.4,12.8,17.2,13.2, 0.6,9.0
Pinhel,2010,9726,0,11,57.9,31.1,283,73,0.8,0,150,0,-102,23,18,0,5,8111,13,12,4,1,1,1,1197,0,0,0,0,0,5,936,1836,8,23,737,3,3,7,4113,477,54,444,401,7,139,11453.6,11407.9,-46,82,18.4,2604.1,20.4,5,1,19.0,37.6,9.6,15.7,10.9, 0.6,6.6
Pombal,2010,55469,0,14.4,63.2,22.5,157,1652,3,0,676,0,-239,156,124,1,20,34017,112,42,49,7,8,6,11249,0,0,2,78,0,11.3,6503,19402,5,8,893,27,17,76,16127,1372,37,1202,1666,5,382,37115.3,38476.6,1361,54.5,29,5010.5,60.6,4,5,18.8,30.0,11.1,17.5,13.6, 1.0,8.0
Ponta Delgada,2010,68737,0,18.9,70.2,10.9,58,1240,1.8,0,584,0,208,367,211,4,19,28227,63,47,36,5,8,10,15953,1,2742,1,106,4,14.3,7066,26307,15,23,0,49,5,137,11577,4077,28,6774,1593,3,640,34995.8,33855.7,-1140,49.5,55.7,3558.7,43,13,29,9.5,21.9,18.3,20.9,14.1, 1.2,14.1
Ponta do Sol,2010,8840,0,19,64,17,90,85,1,0,97,0,-9,38,27,0,2,4666,33,9,7,1,1,1,1662,0,0,0,0,0,6.9,540,1370,11,22,781,6,0,9,2447,168,36,374,410,7,87,6002.6,6838.8,836,70.6,21.3,2431.1,29.6,10,3,17.2,32.6,15.5,15.2,10.9, 0.7,7.8
Ponte da Barca,2010,12149,0,13.4,63.1,23.5,176,76,0.6,0,150,0,-79,59,31,0,3,7944,21,8,12,1,2,2,1871,0,0,0,0,0,2.4,990,2247,8,31,790,5,1,8,3904,381,41,482,567,7,265,13544.6,13994.6,450,77.6,52.2,2478.4,38.2,2,4,18.9,33.3,11.7,16.6,12.2, 0.7,6.6
Ponte de Lima,2010,43677,0,15.7,65.1,19.2,122,247,0.6,0,434,0,-62,196,62,1,9,21829,198,29,19,4,6,3,8322,3,683,2,0,0,9.6,3638,10649,8,34,763,17,4,36,11738,1077,35,1312,1933,7,596,29258.2,29393.5,135,66.5,33,2511.1,34.7,7,3,14.7,29.3,16.6,19.8,12.0, 0.7,7.1
Ponte de Sor,2010,16846,0,13,61.9,25.2,194,260,1.5,0,231,0,-121,36,37,0,7,10271,21,11,10,2,3,1,3080,0,0,0,0,0,16.3,1601,3417,8,20,888,6,4,23,6508,735,50,908,1345,13,290,18736,17853.6,-882,71.3,34.5,3630.7,75,4,1,18.5,30.9,12.8,16.3,13.4, 0.6,7.5
Portalegre,2010,25060,0,13.2,63.4,23.4,177,587,2.3,0,336,0,-132,81,81,1,12,14727,22,21,14,2,3,3,5510,3,2313,2,193,0,12.9,2600,5861,9,31,941,12,2,49,8979,2438,53,1011,1244,8,428,19119.8,20400.5,1281,59.9,21.9,4887.4,144.5,5,3,12.8,25.2,10.5,19.2,15.2, 0.7,16.4
Portel,2010,6488,0,12.7,60.6,26.7,209,86,1.3,0,100,0,-61,12,11,0,4,4252,12,9,8,1,1,1,737,0,0,0,0,1,11.7,569,1206,21,32,793,2,2,10,2579,245,50,306,402,10,255,9464.4,10091.1,627,87.2,16.5,3778.2,126.6,3,0,19.2,34.2,13.7,15.5,11.9, 0.8,4.7
Portimão,2010,55128,0,17,66,17,100,9815,17.8,0,529,0,134,185,212,2,12,46830,86,25,16,6,7,4,11309,2,1430,2,150,8,25.7,7685,18887,5,16,939,33,4,90,13116,2536,34,4037,4036,11,947,41183,43664,2481,21.7,59.2,4532.2,274.6,2,48,10.0,22.6,11.5,22.6,18.4, 1.3,13.6
Porto,2010,239650,0,12.2,64.7,23,188,8329,3.5,0,2916,0,-961,1102,650,24,113,137215,93,162,95,44,57,54,68365,42,57461,15,1944,13,8.7,37821,134218,12,21,1280,292,3,585,79749,20547,48,28990,15461,10,2725,183176.9,185231.9,2055,19.6,69.9,5891.2,113,17,95,6.6,24.2,10.2,17.0,15.7, 0.9,25.3
Porto de Mós,2010,24383,0,15.4,64.8,19.8,129,817,3.4,0,228,0,-12,58,58,0,9,13017,31,23,20,3,3,3,4468,0,0,1,0,0,11.9,2879,8594,8,21,931,15,4,32,7731,647,41,747,870,6,340,17915.8,17420.5,-495,62.9,33.9,5407.3,43.4,6,2,12.4,31.5,13.3,19.3,13.5, 1.1,8.9
Porto Moniz,2010,2741,0,13.3,62.7,24,180,19,0.7,0,64,0,-44,19,5,0,1,1948,1,2,2,1,1,1,383,0,0,1,0,0,2.4,163,385,19,37,784,3,0,6,1042,107,49,82,104,6,67,6437.5,6435.3,-2,92.2,31.4,5019.9,63.5,2,6,25.6,35.4,13.9,11.1,8.3, 0.5,5.3
Porto Santo,2010,5437,0,15.7,72.8,11.5,73,423,7.8,0,39,0,30,28,16,0,1,4469,45,5,4,1,1,1,941,0,0,0,58,0,16,538,1161,15,24,1052,4,0,11,965,388,29,82,337,9,85,4790.9,4810.8,20,45.8,22.8,6022.5,110.4,23,13,8.6,26.6,15.0,20.9,18.3, 1.2,9.5
Póvoa de Lanhoso,2010,21969,0,16.7,67.1,16.3,98,147,0.7,0,156,0,43,135,30,1,5,11728,53,23,23,2,4,2,4619,1,1056,1,0,0,12,1876,5781,10,25,739,11,1,21,5340,388,31,922,1178,8,200,15008.1,14644.6,-363,72.9,31.8,2687.4,37.1,5,2,14.7,32.2,17.0,17.4,11.4, 0.6,6.7
Póvoa de Varzim,2010,63579,0,17,69.3,13.7,80,957,1.5,0,465,0,223,324,221,2,15,34877,100,37,28,6,8,4,13214,0,0,1,0,0,11.3,7066,21595,8,21,885,32,5,81,13424,2286,30,3601,4314,10,766,44164,46127.7,1964,28.9,29,3103.6,104.3,11,13,8.2,28.4,17.7,18.8,14.0, 0.8,12.0
Povoação,2010,6361,0,18.3,67,14.6,80,32,0.5,0,80,0,-29,30,29,0,2,3603,15,8,7,2,2,2,1317,0,0,0,0,0,3.8,568,1131,22,27,0,4,1,10,1224,227,28,1172,299,7,112,5653.1,6726.1,1073,85.9,28.9,2368.3,1.4,2,4,14.1,32.4,21.2,16.9,9.3, 0.5,5.6
Proença-a-Nova,2010,8415,0,10.2,57.9,31.9,314,100,1.2,0,165,0,-110,31,11,0,2,6264,22,7,2,2,2,2,997,0,0,1,0,1,6.5,739,1790,11,26,730,4,1,8,3801,416,56,66,258,5,156,12057.2,11065.8,-991,80.1,15.1,2606.3,4.2,6,1,19.3,35.3,9.0,15.5,12.5, 0.8,7.6
Redondo,2010,7072,0,13.4,61.9,24.7,185,179,2.5,0,99,0,-45,16,15,0,3,4544,21,5,5,1,1,1,1062,0,0,2,0,1,16.5,753,1598,12,33,772,3,2,8,2463,309,45,510,405,9,266,9867.3,10539.5,672,75.7,27.6,3418.7,66.3,3,1,17.6,31.6,14.3,17.0,12.3, 0.7,6.5
Reguengos de Monsaraz,2010,10880,0,14.3,61.7,24,168,248,2.3,0,161,0,-61,34,27,0,5,6376,46,9,8,1,2,1,2213,0,0,0,0,1,14,1491,2950,14,44,894,4,2,12,4112,568,50,794,661,10,268,10801.4,12174.2,1373,62.8,15.7,3430.4,77.4,4,3,17.5,29.4,12.8,16.2,14.5, 0.8,8.9
Resende,2010,11467,0,15.5,62.9,21.6,139,44,0.4,0,152,0,-64,41,20,0,4,7415,24,11,15,1,3,2,2074,0,0,0,0,0,12.8,872,1873,12,26,733,4,1,9,3614,343,41,1631,777,11,284,11916.9,11983.4,67,80.6,23.4,1868.7,36.8,2,2,21.2,35.8,12.4,15.1,9.9, 0.3,5.3
Ribeira Brava,2010,13384,0,19,65.9,15.2,80,131,1,0,151,0,-49,75,27,0,3,6799,31,12,9,2,2,1,3037,0,0,1,38,0,6.7,751,1996,8,29,772,8,0,13,3851,300,38,365,632,7,107,7543.6,8581.2,1038,75.8,33.6,2450.7,36.8,3,5,19.9,31.2,14.8,14.5,11.3, 0.7,7.6
